"region","BCR","route","origin","stop","year","month","day","datetime","doy","sun","temp","wind","sky","lat","long","coni","coni.pres","coni.range","copo","copo.pres","copo.range","ewpw","ewpw.pres","ewpw.range","type","bbsroute"
4,11,418,"BBS",1,2016,6,17,"2016-06-18 03:26:00",170,-0.390120758083132,1,1,0,53.103297,-111.760129,0,0,1,0,0,0,0,0,0,"WR",127
4,11,418,"BBS",2,2016,6,17,"2016-06-18 03:42:00",170,-0.124959699842666,1,1,0,53.118628,-111.760134,0,0,1,0,0,0,0,0,0,"WR",127
43,6,560,"BBS",1,2016,6,20,"2016-06-21 05:10:00",173,-0.206014674570824,1,0,1,61.39831035,-117.4466971,0,0,1,0,0,0,0,0,0,"WR",8
43,6,560,"BBS",2,2016,6,20,"2016-06-21 05:20:00",173,-0.040386553472942,1,0,1,61.40942233,-117.4276298,0,0,1,0,0,0,0,0,0,"WR",8
43,6,560,"BBS",3,2016,6,20,"2016-06-21 05:28:00",173,0.0914755653010459,1,0,1,61.42153669,-117.4118675,0,0,1,0,0,0,0,0,0,"WR",8
43,6,560,"BBS",4,2016,6,20,"2016-06-21 05:36:00",173,0.22409105837345,1,0,1,61.43202463,-117.3898338,0,0,1,0,0,0,0,0,0,"WR",8
43,6,560,"BBS",5,2016,6,20,"2016-06-21 05:45:00",173,0.37321499314573,1,0,1,61.44269429,-117.369557,0,0,1,0,0,0,0,0,0,"WR",8
43,6,560,"BBS",6,2016,6,20,"2016-06-21 05:53:00",173,0.505527105132739,1,0,1,61.45372747,-117.3502678,0,0,1,0,0,0,0,0,0,"WR",8
4,11,372,"BBS",1,2016,6,24,"2016-06-25 03:33:00",177,-0.378964122533798,1,3,2,53.337695,-112.782088,0,0,1,0,0,0,0,0,0,"WR",28
4,11,372,"BBS",2,2016,6,24,"2016-06-25 03:44:00",177,-0.197227963076699,1,1,2,53.337674,-112.806078,0,0,1,0,0,0,0,0,0,"WR",28
4,11,372,"BBS",3,2016,6,24,"2016-06-25 03:54:00",177,-0.0321959051820961,1,1,2,53.337786,-112.830432,0,0,1,0,0,0,0,0,0,"WR",28
4,11,372,"BBS",4,2016,6,24,"2016-06-25 04:04:00",177,0.132846658428509,1,1,2,53.337802,-112.854771,0,0,1,0,0,0,0,0,0,"WR",28
4,11,372,"BBS",5,2016,6,24,"2016-06-25 04:14:00",177,0.297863349649642,1,1,2,53.337845,-112.879458,0,0,1,0,0,0,0,0,0,"WR",28
